Country,Last,Previous,Reference,Unit,Tax
Malaysia,30,30,Dec/25,%,/*tax_value*/
Malta,35,35,Dec/25,%,/*tax_value*/
Mauritania,40,40,Dec/25,%,/*tax_value*/
Mauritius,20,20,Dec/25,%,/*tax_value*/
Mexico,35,35,Dec/25,%,/*tax_value*/
Moldova,12,12,Dec/25,%,/*tax_value*/
Mongolia,20,20,Dec/25,%,/*tax_value*/
Montenegro,15,9,Dec/25,%,/*tax_value*/
Morocco,38,38,Dec/25,%,/*tax_value*/
Mozambique,32,32,Dec/25,%,/*tax_value*/
Myanmar,25,25,Dec/25,%,/*tax_value*/
Namibia,37,37,Dec/25,%,/*tax_value*/
Netherlands,49.5,49.5,Dec/25,%,/*tax_value*/
New Zealand,39,39,Dec/25,%,/*tax_value*/
Nicaragua,30,30,Dec/25,%,/*tax_value*/
Nigeria,24,24,Dec/25,%,/*tax_value*/
Norway,47.4,39.6,Dec/25,%,/*tax_value*/
Oman,0,0,Dec/25,%,/*tax_value*/
Pakistan,35,35,Dec/25,%,/*tax_value*/
Panama,25,25,Dec/25,%,/*tax_value*/
Papua New Guinea,42,42,Dec/25,%,/*tax_value*/
Peru,30,30,Dec/25,%,/*tax_value*/
Philippines,35,35,Dec/25,%,/*tax_value*/
Poland,32,32,Dec/25,%,/*tax_value*/
Portugal,48,48,Dec/25,%,/*tax_value*/
Puerto Rico,33,33,Dec/25,%,/*tax_value*/
Qatar,0,0,Dec/25,%,/*tax_value*/
Republic of the Congo,40,40,Dec/25,%,/*tax_value*/
Romania,10,10,Dec/25,%,/*tax_value*/
Russia,13,13,Dec/25,%,/*tax_value*/
Rwanda,30,30,Dec/25,%,/*tax_value*/
Samoa,27,27,Dec/25,%,/*tax_value*/
Saudi Arabia,0,0,Dec/25,%,/*tax_value*/
Senegal,43,43,Dec/25,%,/*tax_value*/
Serbia,10,10,Dec/25,%,/*tax_value*/
Seychelles,15,15,Dec/25,%,/*tax_value*/
Sierra Leone,15,15,Dec/25,%,/*tax_value*/
Singapore,24,24,Dec/25,%,/*tax_value*/
Slovakia,25,25,Dec/25,%,/*tax_value*/
Slovenia,50,50,Dec/25,%,/*tax_value*/
South Africa,45,45,Dec/25,%,/*tax_value*/
South Korea,45,45,Dec/25,%,/*tax_value*/
Spain,47,47,Dec/25,%,/*tax_value*/
Sri Lanka,18,18,Dec/25,%,/*tax_value*/
Sudan,15,15,Dec/25,%,/*tax_value*/
Suriname,38,38,Dec/25,%,/*tax_value*/
Swaziland,33,33,Dec/25,%,/*tax_value*/
Sweden,52,52,Dec/25,%,/*tax_value*/
Switzerland,40,40,Dec/25,%,/*tax_value*/
Syria,22,22,Dec/25,%,/*tax_value*/
Taiwan,40,40,Dec/25,%,/*tax_value*/
Tajikistan,12,12,Dec/25,%,/*tax_value*/
Tanzania,30,30,Dec/25,%,/*tax_value*/
Thailand,35,35,Dec/25,%,/*tax_value*/
Trinidad And Tobago,25,25,Dec/25,%,/*tax_value*/
Tunisia,35,35,Dec/25,%,/*tax_value*/
Turkey,40,40,Dec/25,%,/*tax_value*/
Uganda,40,40,Dec/25,%,/*tax_value*/
Ukraine,18,18,Dec/25,%,/*tax_value*/
United Arab Emirates,0,0,Dec/25,%,/*tax_value*/
United Kingdom,45,45,Dec/25,%,/*tax_value*/
United States,37,37,Dec/25,%,/*tax_value*/
Uruguay,36,36,Dec/25,%,/*tax_value*/
Uzbekistan,12,12,Dec/25,%,/*tax_value*/
Venezuela,34,34,Dec/25,%,/*tax_value*/
Vietnam,35,35,Dec/25,%,/*tax_value*/
Zambia,37,37,Dec/25,%,/*tax_value*/
Zimbabwe,41.2,41.2,Dec/25,%,/*tax_value*/
